PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change
83886,Add EnergyZero integration,2022-12-13 00:16:53+00:00,2023-01-04 22:01:59+00:00,merged,20,52,21,https://github.com/home-assistant/core/pull/83886,New integration (thank you!)
106697,Add Govee local light integration,2023-12-30 00:09:30+00:00,2024-01-26 15:47:19+00:00,merged,17,59,17,https://github.com/home-assistant/core/pull/106697,New integration (thank you!)
126298,Add Domika integration,2024-09-20 00:07:57+00:00,2024-10-03 09:04:05+00:00,closed,46,0,12,https://github.com/home-assistant/core/pull/126298,New integration (thank you!)
100289,Add Medcom Bluetooth integration,2023-09-13 12:34:37+00:00,2023-09-27 19:01:32+00:00,merged,16,62,13,https://github.com/home-assistant/core/pull/100289,New integration (thank you!)
82110,Add PurpleAir integration,2022-11-14 23:55:40+00:00,2022-12-31 01:38:15+00:00,merged,21,24,28,https://github.com/home-assistant/core/pull/82110,New integration (thank you!)
45749,Add Vorwerk integration,2021-01-30 16:45:59+00:00,2023-01-18 15:02:00+00:00,closed,14,70,716,https://github.com/home-assistant/core/pull/45749,New integration (thank you!)
113097,Add Integration for Energenie Power-Sockets,2024-03-11 21:14:04+00:00,2024-03-30 13:01:36+00:00,merged,19,79,17,https://github.com/home-assistant/core/pull/113097,New integration (thank you!)
60506,Add rki-covid integration,2021-11-28 17:49:27+00:00,2022-02-14 08:01:59+00:00,closed,531,102,76,https://github.com/home-assistant/core/pull/60506,New integration (thank you!)
80061,Add Rainforest RAVEn integration,2022-10-11 00:56:07+00:00,2024-01-06 17:01:46+00:00,merged,24,73,451,https://github.com/home-assistant/core/pull/80061,New integration (thank you!)
105977,Add SIP Call Integration,2023-12-18 12:58:34+00:00,2024-10-06 19:01:49+00:00,closed,15,44,292,https://github.com/home-assistant/core/pull/105977,New integration (thank you!)
48346,Add Whirlpool integration,2021-03-26 00:13:20+00:00,2021-10-07 08:16:03+00:00,merged,16,122,171,https://github.com/home-assistant/core/pull/48346,New integration (thank you!)
103498,Add integration for Vogel's MotionMount,2023-11-06 11:49:05+00:00,2023-12-23 13:01:49+00:00,merged,19,82,45,https://github.com/home-assistant/core/pull/103498,New integration (thank you!)
83561,New Integration: Honeygain,2022-12-08 16:12:04+00:00,2023-12-04 17:02:36+00:00,closed,14,24,359,https://github.com/home-assistant/core/pull/83561,New integration (thank you!)
71523,New integration for IDS Hyyp Alarms,2022-05-08 10:43:00+00:00,2023-01-11 07:01:50+00:00,closed,17,0,246,https://github.com/home-assistant/core/pull/71523,New integration (thank you!)
62909,Add SenseME integration,2021-12-28 04:28:29+00:00,2022-01-13 22:03:29+00:00,merged,18,17,11,https://github.com/home-assistant/core/pull/62909,New integration (thank you!)
103119,Add SEMS Portal integration,2023-10-31 11:13:07+00:00,2023-11-20 12:05:18+00:00,closed,16,15,19,https://github.com/home-assistant/core/pull/103119,New integration (thank you!)
48169,Allow specifying template entities based on triggers,2021-03-20 22:56:42+00:00,2021-03-30 17:19:34+00:00,merged,6,16,8,https://github.com/home-assistant/core/pull/48169,New integration (thank you!)
53050,Add Gotify component,2021-07-15 08:08:48+00:00,2023-10-07 10:02:02+00:00,closed,14,45,813,https://github.com/home-assistant/core/pull/53050,New integration (thank you!)
48648,Add Rademacher HomePilot integration,2021-04-03 08:28:39+00:00,2021-09-05 16:01:38+00:00,closed,15,15,154,https://github.com/home-assistant/core/pull/48648,New integration (thank you!)
88540,Intellidrive reisinger,2023-02-21 13:58:49+00:00,2023-12-17 17:05:30+00:00,closed,16,75,298,https://github.com/home-assistant/core/pull/88540,New integration (thank you!)
70457,Add Melnor Bluetooth valve watering Integration,2022-04-23 00:02:13+00:00,2022-08-31 22:01:52+00:00,merged,16,44,129,https://github.com/home-assistant/core/pull/70457,New integration (thank you!)
45074,Add AEMET OpenData integration,2021-01-12 08:40:43+00:00,2021-02-14 22:06:22+00:00,merged,31,106,32,https://github.com/home-assistant/core/pull/45074,New integration (thank you!)
67817,Create iAlarmXR integration,2022-03-07 18:49:03+00:00,2022-05-27 12:23:25+00:00,merged,18,83,78,https://github.com/home-assistant/core/pull/67817,New integration (thank you!)
101634,Add new integration for Leviosa zone,2023-10-08 04:36:34+00:00,2023-11-10 03:01:52+00:00,closed,17,18,31,https://github.com/home-assistant/core/pull/101634,New integration (thank you!)
106785,Add Sanix integration,2023-12-31 19:40:38+00:00,2024-04-18 13:02:08+00:00,merged,18,99,107,https://github.com/home-assistant/core/pull/106785,New integration (thank you!)
107634,Add Homeassistant Analytics Insights integration,2024-01-09 09:02:28+00:00,2024-01-24 10:06:00+00:00,merged,22,26,14,https://github.com/home-assistant/core/pull/107634,New integration (thank you!)
55620,Add ta_cmi integration,2021-09-02 22:25:41+00:00,2022-09-28 10:02:22+00:00,closed,18,3,389,https://github.com/home-assistant/core/pull/55620,New integration (thank you!)
85977,Add iNELS integration,2023-01-15 23:56:07+00:00,2023-03-11 13:04:10+00:00,closed,20,4,53,https://github.com/home-assistant/core/pull/85977,New integration (thank you!)
112511,Add aWATTar integration,2024-03-06 16:29:05+00:00,2024-09-28 12:03:52+00:00,closed,16,54,204,https://github.com/home-assistant/core/pull/112511,New integration (thank you!)
93604,Add Owlet integration,2023-05-26 14:11:28+00:00,2024-02-01 19:01:45+00:00,closed,24,70,250,https://github.com/home-assistant/core/pull/93604,New integration (thank you!)
45628,ELV USB WDE1 integration,2021-01-28 00:18:18+00:00,2021-07-21 19:02:18+00:00,closed,11,0,173,https://github.com/home-assistant/core/pull/45628,New integration (thank you!)
95722,Add Komfovent,2023-07-02 18:12:50+00:00,2023-11-12 11:01:47+00:00,merged,15,59,131,https://github.com/home-assistant/core/pull/95722,New integration (thank you!)
128259,Palazzetti integration,2024-10-12 18:56:12+00:00,2024-10-29 17:02:03+00:00,merged,19,112,15,https://github.com/home-assistant/core/pull/128259,New integration (thank you!)
124584,Add Aruba Instant On integration,2024-08-25 17:22:33+00:00,2024-11-01 22:01:56+00:00,closed,8,0,67,https://github.com/home-assistant/core/pull/124584,New integration (thank you!)
109801,Add Switchgrid integration,2024-02-06 13:37:23+00:00,2024-07-01 22:01:40+00:00,closed,18,35,145,https://github.com/home-assistant/core/pull/109801,New integration (thank you!)
83883,Add LD2410 BLE integration,2022-12-12 23:27:27+00:00,2023-01-25 20:27:45+00:00,merged,21,54,24,https://github.com/home-assistant/core/pull/83883,New integration (thank you!)
45303,Add support for Switchbot meter,2021-01-18 20:08:14+00:00,2021-01-28 10:09:59+00:00,closed,6,2,8,https://github.com/home-assistant/core/pull/45303,New integration (thank you!)
96722,Introduce new decora_ble integration,2023-07-16 20:54:04+00:00,2024-02-20 14:01:46+00:00,closed,19,12,217,https://github.com/home-assistant/core/pull/96722,New integration (thank you!)
81943,Add `datetime` platform,2022-11-11 06:32:40+00:00,2023-05-30 22:01:48+00:00,merged,17,18,199,https://github.com/home-assistant/core/pull/81943,New integration (thank you!)
79457,Add `datetime` platform,2022-10-02 08:16:06+00:00,2022-11-12 07:01:57+00:00,closed,14,0,39,https://github.com/home-assistant/core/pull/79457,New integration (thank you!)
108326,Add husqvarna automower ble integration,2024-01-18 22:04:09+00:00,2024-10-26 21:01:43+00:00,merged,21,93,280,https://github.com/home-assistant/core/pull/108326,New integration (thank you!)
103566,Add reply_to_message_id to all telegram_bot message types,2023-11-07 06:47:19+00:00,2023-11-15 16:01:46+00:00,merged,1,0,7,https://github.com/home-assistant/core/pull/103566,New integration (thank you!)
109335,Add Fujitsu FGLair integration,2024-02-01 22:11:14+00:00,2024-08-26 17:01:46+00:00,merged,21,133,198,https://github.com/home-assistant/core/pull/109335,New integration (thank you!)
88548,Attribute sensor,2023-02-21 15:04:46+00:00,2023-03-08 11:01:52+00:00,closed,14,0,13,https://github.com/home-assistant/core/pull/88548,New integration (thank you!)
118675,New Integration: SMLIGHT SLZB-06 Adapters Integration,2024-06-03 05:29:41+00:00,2024-09-06 02:48:53+00:00,merged,23,124,78,https://github.com/home-assistant/core/pull/118675,New integration (thank you!)
